team_name,opener_avg_batting_avg,opener_avg_strike_rate
Royal Challengers Bangalore,37.310471530784035,134.63348807233297
Delhi Capitals,30.8169487307118,142.49395823462672
Punjab Kings,30.55000655780707,134.27735191494497
Mumbai Indians,31.04772004241782,124.55750237332529
Kolkata Knight Riders,25.720852795861074,134.03605012622054
Rajasthan Royals,34.64819296282663,138.33761146557814
Sunrisers Hyderabad,34.13412295736763,138.16566032899414
Chennai Super Kings,34.45731633272617,128.4376975193248
Kochi Tuskers Kerala,27.71933962264151,122.81982796912884
Pune Warriors,25.672721972347162,124.5101811834836
Gujarat Lions,28.772097335519714,131.04896693479887
Rising Pune Supergiant,29.690619063532058,126.92540944410088
Lucknow Super Giants,34.966505636070856,133.95481782473814
Gujarat Titans,38.810735864593774,132.97815303866392
