match_id,match_date,team1,team2,venue,venue_avg_first_innings,venue_recent_avg,t1_high_score_rate,t2_high_score_rate,is_home_team1,toss_winner_is_team1,toss_decision_bat,h2h_team1_wins,h2h_team2_wins,chase_win_pct_team1,chase_win_pct_team2,high_score_chase_t1,high_score_chase_t2,winrate_team1,winrate_team2,last5_win_team1,last5_win_team2,t1_recent_avg_score,t2_recent_avg_score,t1_pp_bowling_economy,t2_pp_bowling_economy,season_avg_score,t1_rolling_season_avg,t2_rolling_season_avg,t1_bat_vs_bowl,t2_bat_vs_bowl,season_year,t1_avg_batting_avg,t1_avg_strike_rate,t1_top3_batting_avg,t1_avg_economy,t1_avg_bowling_avg,t1_recent_strike_rate,t1_recent_economy,t2_avg_batting_avg,t2_avg_strike_rate,t2_top3_batting_avg,t2_avg_economy,t2_avg_bowling_avg,t2_recent_strike_rate,t2_recent_economy,t1_opener_batting_avg,t1_opener_strike_rate,t2_opener_batting_avg,t2_opener_strike_rate,team1_pp_runs,team1_pp_strike_rate,team1_pp_wickets,team1_pp_run_rate,team2_pp_runs,team2_pp_strike_rate,team2_pp_wickets,team2_pp_run_rate,pp_strength_diff,pp_run_rate_diff,winner
335982,2008-04-18,5,12,23,167.0,167.0,0.3,0.3,0,0,0,0,0,0.5,0.5,0.4,0.4,0.5,0.5,0,0,167.0,167.0,7.473946953725018,7.343088063238921,160.9655172413793,167.0,167.0,11.845127940825465,14.445817430291491,2008,19.70495051269984,101.9172571836723,26.38325085449973,8.151774338033807,39.18345153664303,77.92973744614494,1.4522222222222223,21.248442398595618,117.75904382017166,31.171139971139976,8.604149967211741,48.930364769773405,93.41366403665869,1.5182178932178934,25.720852795861074,140.66419916948178,37.310471530784035,139.3538685980196,26,68.42105263157895,4,4.105263157894737,61,160.5263157894737,1,9.631578947368421,92.10526315789475,5.526315789473684,1
335984,2008-04-19,1,10,16,167.0,167.0,0.3,0.3,1,0,1,0,0,0.5,0.5,0.4,0.4,0.5,0.5,0,0,167.0,167.0,7.541540454940284,7.369295210659598,222.0,167.0,167.0,16.992095056269015,11.974380047067259,2008,31.44299335474931,135.47292176132376,31.44299335474931,9.202249960942586,29.576487391646964,77.60213032581453,1.5756038647342994,18.673962089852672,110.19123832043637,28.935290453323244,7.972702678081051,36.674811147218655,90.25050077846132,1.3993055555555554,30.8169487307118,147.52414757733249,34.64819296282663,142.39612625551993,55,144.73684210526315,1,8.68421052631579,40,108.10810810810811,2,6.486486486486487,36.62873399715504,2.1977240398293025,1
335983,2008-04-19,9,0,41,167.0,167.0,0.3,0.3,1,0,1,0,0,0.5,0.5,0.4,0.4,0.5,0.5,0,0,167.0,167.0,7.471884685926699,7.4133771625965945,222.0,167.0,167.0,14.504548457323414,15.029747111844308,2008,22.602380658645334,122.04084672301485,24.748247390965428,8.289176290368475,33.08738320387257,87.91971827455698,1.4568181818181818,30.120952613280547,124.58422340973391,37.39941905228529,8.413970768003871,34.68040949003715,85.65660787149942,1.4904761904761905,30.55000655780707,137.23916029095065,34.45731633272617,131.71087955418488,63,165.78947368421052,1,9.947368421052632,53,139.4736842105263,1,8.368421052631579,26.31578947368422,1.578947368421053,0
335985,2008-04-20,7,12,56,167.0,167.0,0.3,1.0,1,1,1,0,0,0.5,0.5,0.4,0.4,0.5,0.0,0,0,167.0,222.0,7.176359235003536,7.473946953725018,197.0,167.0,222.0,14.580945531562142,16.71871838931768,2008,19.380805649733684,126.48128067387799,24.37798146381355,7.447575470726256,28.246444182295246,75.0399821880073,1.2765306122448978,25.828152210750186,124.51391697826232,31.013408563970362,8.674422409719222,44.010243907983266,102.46583202465557,1.5583333333333333,31.04772004241782,128.61832896325035,37.310471530784035,139.3538685980196,47,123.6842105263158,3,7.421052631578948,40,108.10810810810811,1,6.486486486486487,15.576102418207682,0.9345661450924609,0
335986,2008-04-20,13,5,14,167.0,167.0,1.0,0.3,0,1,1,0,0,0.5,1.0,0.4,1.0,0.5,1.0,0,1,167.0,222.0,7.343088063238921,7.228981446498258,197.0,167.0,222.0,13.483397263305342,13.196579951311621,2008,18.450705774755843,111.17614504293627,31.11187639204327,8.150009773112503,35.744818754925134,102.56761808362691,1.439012345679012,19.53402909845372,107.55225557485024,26.38325085449973,8.245410475703983,36.835245694022284,73.9586766132534,1.4523809523809526,34.13412295736763,143.25787811139153,25.720852795861074,140.66419916948178,26,72.22222222222221,3,4.333333333333333,39,100.0,2,6.0,27.777777777777786,1.666666666666667,0
335987,2008-04-21,9,10,47,167.0,167.0,0.0,1.0,0,1,1,0,0,0.5,0.0,0.4,0.4,0.0,0.0,0,0,240.0,129.0,7.369295210659598,7.471884685926699,173.2,240.0,129.0,14.682523511485945,16.68215875830608,2008,19.475609681736906,116.5536384596978,26.015155603525812,8.14580777915204,32.64343863981763,99.04257793706012,1.4485353535353536,26.998674271993945,135.889658586459,30.6948532948533,7.938256551642462,31.557808496818403,119.83896863370549,1.4499999999999997,30.55000655780707,137.23916029095065,34.64819296282663,142.39612625551993,53,126.19047619047619,3,7.571428571428571,54,150.0,1,9.0,23.80952380952381,1.4285714285714288,0
335988,2008-04-22,1,13,43,167.0,167.0,0.0,0.0,0,0,1,0,0,0.5,0.0,0.4,0.4,1.0,0.0,1,0,129.0,110.0,7.228981446498258,7.541540454940284,172.0,129.0,110.0,16.58331794695549,12.924580090712649,2008,31.44299335474931,135.47292176132376,31.44299335474931,9.202249960942586,29.576487391646964,77.60213032581453,1.5756038647342994,17.591777203327272,118.9352166349598,31.11187639204327,8.169228992331723,34.80963356973995,97.11523713124596,1.432222222222222,30.8169487307118,147.52414757733249,34.13412295736763,143.25787811139153,25,69.44444444444444,2,4.166666666666666,48,129.72972972972974,1,7.783783783783784,60.2852852852853,3.617117117117118,1
335989,2008-04-23,0,7,27,167.0,167.0,1.0,0.0,0,0,0,0,0,1.0,0.5,1.0,0.4,1.0,0.0,1,0,240.0,165.0,7.4133771625965945,7.176359235003536,167.71428571428572,240.0,165.0,15.491836669226732,14.558631548780163,2008,30.120952613280547,124.58422340973391,37.39941905228529,8.413970768003871,34.68040949003715,85.65660787149942,1.4904761904761905,18.987416900038713,122.49590027357522,25.338455772113946,8.041927246574339,28.39625581546834,66.25460337296974,1.4069444444444446,34.45731633272617,131.71087955418488,31.04772004241782,128.61832896325035,53,135.8974358974359,2,8.153846153846153,52,136.8421052631579,2,8.210526315789474,-0.9446693657219782,-0.05668016194332104,1
335990,2008-04-24,13,10,43,142.0,142.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.4,0.4,0.0,0.5,0,1,126.0,147.5,7.228981446498258,7.369295210659598,172.75,126.0,147.5,16.38801589770039,15.513554035636632,2008,21.54343819602164,134.61108074676056,31.11187639204327,8.079879716267191,30.925118203309694,94.91128247963053,1.421111111111111,23.278033642158604,125.34765057975545,30.6948532948533,8.213995006292954,37.532890735639484,101.28179033442193,1.4537037037037035,34.13412295736763,143.25787811139153,34.64819296282663,142.39612625551993,58,156.75675675675674,2,9.405405405405405,73,197.2972972972973,1,11.837837837837839,-40.54054054054055,-2.4324324324324333,0
335991,2008-04-25,9,7,41,240.0,240.0,0.5,0.5,1,0,0,0,0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,203.0,186.5,7.471884685926699,7.176359235003536,177.33333333333334,203.0,186.5,14.080907787428721,14.752649880174454,2008,19.008729111326925,113.91776175868479,25.9884434693968,8.10945810565972,33.80665292553191,91.06135808635808,1.4624242424242424,19.333489075586527,119.63599615074061,27.76222388805597,8.090228519242865,28.77871055979124,78.00742022280652,1.4394444444444443,30.55000655780707,137.23916029095065,31.04772004241782,128.61832896325035,60,157.89473684210526,1,9.473684210526315,39,102.63157894736842,2,6.157894736842106,55.263157894736835,3.315789473684209,1
