player,total_runs,balls_faced,innings,dismissals,strike_rate,batting_avg,recent_strike_rate,ball_bowled,runs_conceded,matches,wickets,economy,bowling_avg,recent_economy
AM Nayar,672.0,588.0,50.0,39.0,114.28571428571428,17.23076923076923,89.0079365079365,239.0,323.0,19.0,9.0,8.10878661087866,35.888888888888886,8.066666666666666
AM Rahane,5032.0,4133.0,183.0,167.0,121.75175417372368,30.131736526946106,150.65028830818306,6.0,5.0,1.0,1.0,5.0,5.0,5.0
AM Salvi,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,156.0,205.0,7.0,7.0,7.884615384615385,29.285714285714285,8.2
AN Ahmed,36.0,27.0,6.0,1.0,133.33333333333331,36.0,217.6923076923077,362.0,515.0,17.0,12.0,8.535911602209945,42.916666666666664,8.833333333333334
AP Dole,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,73.0,114.0,3.0,5.0,9.36986301369863,22.8,10.363636363636363
AP Tare,339.0,285.0,27.0,24.0,118.94736842105263,14.125,31.428571428571427,,,,0.0,8.529553786998122,31.396128841607563,9.1
AR Patel,1916.0,1489.0,123.0,88.0,128.67696440564137,21.772727272727273,138.2507326007326,3371.0,4138.0,160.0,128.0,7.365173539009196,32.328125,9.0
AS Joseph,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,454.0,707.0,22.0,21.0,9.343612334801762,33.666666666666664,10.533333333333333
AS Rajpoot,26.0,41.0,7.0,4.0,63.41463414634146,6.5,67.77777777777777,567.0,844.0,29.0,24.0,8.931216931216932,35.166666666666664,11.166666666666666
AS Raut,194.0,172.0,16.0,11.0,112.79069767441861,17.636363636363637,86.73015873015873,30.0,45.0,5.0,0.0,9.0,31.396128841607563,9.0
AS Roy,26.0,25.0,7.0,4.0,104.0,6.5,77.14285714285714,167.0,218.0,10.0,6.0,7.832335329341317,36.333333333333336,8.074074074074074
AS Yadav,49.0,40.0,6.0,7.0,122.50000000000001,7.0,101.28571428571429,,,,0.0,8.529553786998122,31.396128841607563,9.1
AT Rayudu,4348.0,3490.0,185.0,151.0,124.58452722063038,28.794701986754966,144.08008658008657,,,,0.0,8.529553786998122,31.396128841607563,9.1
AU Rashid,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,60.0,91.0,3.0,2.0,9.1,45.5,9.1
AUK Pathan,39.0,26.0,7.0,5.0,150.0,7.8,111.66666666666667,41.0,63.0,3.0,0.0,9.219512195121952,31.396128841607563,9.0
Abdul Samad,743.0,506.0,51.0,41.0,146.83794466403162,18.121951219512194,78.33333333333334,57.0,119.0,6.0,2.0,12.526315789473685,59.5,11.9
Abdur Razzak,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,14.0,29.0,1.0,0.0,12.428571428571427,31.396128841607563,14.5
Abhishek Sharma,1816.0,1167.0,74.0,67.0,155.61268209083119,27.104477611940297,160.49626701800614,345.0,509.0,32.0,11.0,8.852173913043478,46.27272727272727,9.7
Abishek Porel,661.0,454.0,29.0,29.0,145.59471365638768,22.79310344827586,148.8138528138528,,,,0.0,8.529553786998122,31.396128841607563,9.1
Akash Deep,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,302.0,554.0,14.0,10.0,11.006622516556291,55.4,12.9
Akash Madhwal,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,376.0,598.0,17.0,23.0,9.542553191489363,26.0,11.8
Akash Singh,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,208.0,326.0,10.0,9.0,9.403846153846155,36.22222222222222,9.3
Aman Hakim Khan,115.0,109.0,10.0,9.0,105.50458715596329,12.777777777777779,101.68686868686868,6.0,13.0,1.0,0.0,13.0,31.396128841607563,13.0
Anand Rajan,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,162.0,206.0,8.0,8.0,7.62962962962963,25.75,8.24
Aniket Verma,236.0,148.0,12.0,9.0,159.45945945945945,26.22222222222222,174.44444444444446,,,,0.0,8.529553786998122,31.396128841607563,9.1
Ankit Sharma,87.0,69.0,10.0,7.0,126.08695652173914,12.428571428571429,99.25,375.0,453.0,21.0,12.0,7.248,37.75,8.133333333333333
Ankit Soni,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,112.0,145.0,6.0,2.0,7.767857142857142,72.5,7.631578947368421
Anmolpreet Singh,139.0,117.0,9.0,9.0,118.80341880341881,15.444444444444445,94.73333333333332,,,,0.0,8.529553786998122,31.396128841607563,9.1
Anuj Rawat,318.0,276.0,21.0,14.0,115.21739130434783,22.714285714285715,115.97069597069599,,,,0.0,8.529553786998122,31.396128841607563,9.1
Anureet Singh,36.0,47.0,8.0,4.0,76.59574468085107,9.0,93.33333333333333,430.0,636.0,22.0,18.0,8.874418604651162,35.333333333333336,9.866666666666667
Arjun Tendulkar,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,83.0,117.0,5.0,3.0,8.457831325301205,39.0,9.0
Arshad Khan,119.0,90.0,10.0,6.0,132.22222222222223,19.833333333333332,69.0,289.0,502.0,18.0,12.0,10.422145328719724,41.833333333333336,10.333333333333334
Arshad Khan (2),0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,13.0,25.0,1.0,0.0,11.53846153846154,31.396128841607563,12.5
Arshdeep Singh,31.0,48.0,13.0,6.0,64.58333333333334,5.166666666666667,77.33333333333333,1820.0,2624.0,81.0,97.0,8.650549450549452,27.051546391752577,9.066666666666666
Ashutosh Sharma,393.0,256.0,18.0,15.0,153.515625,26.2,122.08874458874459,,,,0.0,8.529553786998122,31.396128841607563,9.1
Ashwani Kumar,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,132.0,234.0,7.0,11.0,10.636363636363637,21.272727272727273,11.142857142857142
Atharva Taide,260.0,188.0,10.0,9.0,138.29787234042556,28.88888888888889,136.387071154513,1.0,4.0,1.0,0.0,24.0,31.396128841607563,4.0
Avesh Khan,62.0,39.0,13.0,2.0,158.97435897435898,31.0,88.0,1684.0,2497.0,75.0,87.0,8.89667458432304,28.701149425287355,10.233333333333333
Azhar Mahmood,388.0,311.0,21.0,19.0,124.7588424437299,20.42105263157895,98.39066730371079,552.0,707.0,23.0,29.0,7.684782608695652,24.379310344827587,8.966666666666667
